Country,Time,Distribution Losses Electricity,"Net Electricity Production Coal, Peat and Manufactured Gases",Net Electricity Production Combustible Renewables,Net Electricity Production Geothermal,Net Electricity Production Hydro,Net Electricity Production Natural Gas,Net Electricity Production Not Specified,Net Electricity Production Nuclear,Net Electricity Production Oil and Petroleum Products,Net Electricity Production Other Combustible Non-Renewables,Net Electricity Production Other Renewables,Net Electricity Production Solar,Net Electricity Production Wind,Total Exports Electricity,Total Imports Electricity,Used for pumped storage Electricity
Australia,Dec-19,838.3472,12142.1228,247.0915,0.0,1016.4202,3968.0083,0.0,0.0,370.1469,0.0,0.0,2415.9305,1776.0663,0.0,0.0,39.5313
Australia,Dec-20,845.6039999999999,11030.8666,244.0466,0.0,958.9621,3620.0845,0.0,0.0,295.6317,0.0,0.0,3526.8704,2367.5981,0.0,0.0,41.4968
Australia,Dec-21,966.5667,10291.7452,260.9344,0.0,1105.0617,3382.2842,0.0,0.0,316.7317,0.0,0.0,4401.2416,2316.3975,0.0,0.0,54.2764
Australia,Dec-22,952.567,9163.6525,247.3181,,1110.1523,3049.5777,,,285.5757,,,5179.1465,2690.1965,,,54.5264
Australia,Feb-10,1311.132,13482.774,216.287,0.083,983.425,3624.4790000000003,,,401.52099999999996,,,38.884,390.199,,,6.75
Australia,Feb-11,1319.4289999999999,12999.253999999999,165.18400000000003,0.083,1216.229,4091.1279999999997,,,1127.917,,,139.142,538.337,,,13.901
Australia,Feb-12,1166.529,13285.313,237.59099999999998,0.083,895.97,3912.147,,,652.4159999999999,,,232.40200000000002,496.33099999999996,,,11.248
Australia,Feb-13,1056.933,11600.35,246.108,0.083,1371.249,4170.794,,,220.387,,,347.454,598.18,,,19.649
Australia,Feb-14,891.2439999999999,11605.505,272.38,0.083,1071.815,4315.616,,,1102.282,,,400.832,707.904,,,8.21
Australia,Feb-15,733.5447,12053.3827,272.0676,0.083,886.471,3955.9896,,,512.6906,,,502.2237,800.89,,,13.5625
Australia,Feb-16,1022.4627,13310.944,582.93,0.0,1171.597,4111.9728,,,454.756,,,620.8583,934.5419999999999,,,38.6245
Australia,Feb-17,826.6674,12259.163999999999,238.2628,0.083,959.2260000000001,4348.0653,,,454.45300000000003,,,788.8354,977.4611,,,24.8568
Australia,Feb-18,802.2567,12067.1451,242.0592,0.0,997.1389999999999,3995.3123,0.0,0.0,359.1676,0.0,0.0,910.5824,1132.5192,0.0,0.0,22.9602
Australia,Feb-19,768.8261,11546.1026,247.5239,0.0,782.7572,4242.9767,0.0,0.0,395.7968,0.0,0.0,1433.3042,1399.4979999999998,0.0,0.0,30.4436
Australia,Feb-20,808.2598,11515.0764,249.5844,0.0,1103.5167,4456.9551,0.0,0.0,363.9742,0.0,0.0,1834.7822,1408.2926,0.0,0.0,47.751999999999995
Australia,Feb-21,874.2879,10417.7311,241.0554,0.0,1025.6169,3288.1567,0.0,0.0,307.9172,0.0,0.0,2777.2427,1948.8184,0.0,0.0,50.3743
Australia,Feb-22,906.822,9741.6461,209.4146,,1046.3769,3425.8979999999997,,,320.8159,0.0,,3628.9706,2354.7428,,,51.394
Australia,Jan-10,1414.546,14796.776000000002,216.287,0.083,990.7280000000001,3544.365,,,732.302,,,49.216,409.469,,,6.75
Australia,Jan-11,1401.1889999999999,13932.343,165.18400000000003,0.083,1171.131,4378.49,,,3224.335,,,176.11599999999999,433.348,,,13.386
Australia,Jan-12,1226.262,13903.973999999998,237.59099999999998,0.083,847.242,4215.762,,,1534.895,,,294.16,743.0039999999999,,,10.636
Australia,Jan-13,1176.653,13105.767,246.108,0.083,1316.816,4582.219,,,3749.94,,,439.785,669.6469999999999,,,18.869
Australia,Jan-14,987.503,12756.94,272.38,0.083,1209.9160000000002,4894.411,,,1701.775,,,507.347,837.32,,,9.267999999999999
Australia,Jan-15,798.9013,13052.438,294.7805,0.083,940.3819,4286.2456,,,555.4913,,,532.3385,1066.5928,,,14.3873
Australia,Jan-16,1048.0177,13464.1239,582.93,0.0,1414.7492,4107.833,,,454.2981,,,658.0886,1080.0676,,,46.6406
Australia,Jan-17,904.0241,13778.5061,301.4051,0.083,850.6501,4570.9852,,,477.7522,,,870.8673,1050.3855,,,22.0432
Australia,Jan-18,905.3431,13441.1604,275.2421,0.0,1165.2396,4631.5788,0.0,0.0,416.3662,0.0,0.0,1082.3071,1219.2294,0.0,0.0,26.8308
